[13:36:02 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          482,02  | Machine: 2011
[16:55:43 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          496,01  | Machine: 1024
[17:17:39 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          379,01  | Machine: 1020
[17:19:56 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          315,02  | Machine: 1024
[17:25:24 09/12/2025] SUCCESS | Jackpot  | ID: 1      | Name: Daily                          | Amount:        5.391,01  | Machine: 1024
[17:34:11 09/12/2025] SUCCESS | HotSeat  | ID: 109    | Name: RL_PPOCHI 20                   | Amount:               0  | Machine: 314
[17:43:44 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          457,01  | Machine: 1013
[17:53:05 09/12/2025] SUCCESS | HotSeat  | ID: 109    | Name: RL_PPOCHI 20                   | Amount:               0  | Machine: 315
[18:19:28 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          419,05  | Machine: 2006
[19:06:04 09/12/2025] SUCCESS | HotSeat  | ID: 109    | Name: RL_PPOCHI 20                   | Amount:               0  | Machine: 103
[19:27:04 09/12/2025] SUCCESS | HotSeat  | ID: 97     | Name: Ppochi 2024 -Mon-Fri-18 times  | Amount:               0  | Machine: 1018
[19:29:49 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          429,03  | Machine: 3011
[19:37:37 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          337,01  | Machine: 3017
[19:47:07 09/12/2025] SUCCESS | HotSeat  | ID: 97     | Name: Ppochi 2024 -Mon-Fri-18 times  | Amount:               0  | Machine: 3013
[20:01:34 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          466,04  | Machine: 2006
[20:02:09 09/12/2025] SUCCESS | HotSeat  | ID: 97     | Name: Ppochi 2024 -Mon-Fri-18 times  | Amount:               0  | Machine: 5008
[20:16:43 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          385,05  | Machine: 2006
[20:19:00 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          319,08  | Machine: 2017
[20:21:32 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          314,01  | Machine: 3003
[20:22:06 09/12/2025] SUCCESS | HotSeat  | ID: 97     | Name: Ppochi 2024 -Mon-Fri-18 times  | Amount:               0  | Machine: 3012
[20:34:07 09/12/2025] SUCCESS | HotSeat  | ID: 109    | Name: RL_PPOCHI 20                   | Amount:               0  | Machine: 214
[20:40:06 09/12/2025] SUCCESS | HotSeat  | ID: 97     | Name: Ppochi 2024 -Mon-Fri-18 times  | Amount:               0  | Machine: 3015
[20:54:32 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          482,04  | Machine: 2006
[21:03:08 09/12/2025] SUCCESS | HotSeat  | ID: 97     | Name: Ppochi 2024 -Mon-Fri-18 times  | Amount:               0  | Machine: 1027
[21:20:09 09/12/2025] SUCCESS | HotSeat  | ID: 109    | Name: RL_PPOCHI 20                   | Amount:               0  | Machine: 204
[21:22:33 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          500,04  | Machine: 3008
[21:25:22 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          333,01  | Machine: 3008
[21:29:57 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          348,04  | Machine: 2006
[21:39:06 09/12/2025] SUCCESS | HotSeat  | ID: 97     | Name: Ppochi 2024 -Mon-Fri-18 times  | Amount:               0  | Machine: 3003
[21:41:55 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          446,01  | Machine: 3008
[21:44:05 09/12/2025] SUCCESS | HotSeat  | ID: 97     | Name: Ppochi 2024 -Mon-Fri-18 times  | Amount:               0  | Machine: 1022
[21:48:07 09/12/2025] SUCCESS | HotSeat  | ID: 109    | Name: RL_PPOCHI 20                   | Amount:               0  | Machine: 509
[21:56:25 09/12/2025] SUCCESS | Jackpot  | ID: 34     | Name: Daily Golden                   | Amount:       10.589,01  | Machine: 3008
[21:57:55 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          484,03  | Machine: 2026
[22:07:48 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          457,01  | Machine: 3011
[22:21:01 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          499,13  | Machine: 2007
[22:21:51 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          316,01  | Machine: 3011
[22:22:33 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          316,12  | Machine: 3008
[22:24:53 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          333,01  | Machine: 3011
[22:31:49 09/12/2025] SUCCESS | Jackpot  | ID: 1      | Name: Daily                          | Amount:        5.476,02  | Machine: 2007
[22:37:40 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          478,04  | Machine: 3008
[22:38:49 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          314,02  | Machine: 2007
[22:39:07 09/12/2025] SUCCESS | HotSeat  | ID: 97     | Name: Ppochi 2024 -Mon-Fri-18 times  | Amount:               0  | Machine: 3007
[22:41:43 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          349,01  | Machine: 5001
[22:44:07 09/12/2025] SUCCESS | HotSeat  | ID: 97     | Name: Ppochi 2024 -Mon-Fri-18 times  | Amount:               0  | Machine: 2012
[22:50:24 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          424,09  | Machine: 2007
[22:55:49 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          354,01  | Machine: 2006
[22:58:07 09/12/2025] SUCCESS | HotSeat  | ID: 109    | Name: RL_PPOCHI 20                   | Amount:               0  | Machine: 224
[23:08:34 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          429,09  | Machine: 2007
[23:18:08 09/12/2025] SUCCESS | HotSeat  | ID: 97     | Name: Ppochi 2024 -Mon-Fri-18 times  | Amount:               0  | Machine: 1015
[23:19:33 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          411,01  | Machine: 2021
[23:24:05 09/12/2025] SUCCESS | HotSeat  | ID: 97     | Name: Ppochi 2024 -Mon-Fri-18 times  | Amount:               0  | Machine: 3024
[23:29:36 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          378,02  | Machine: 2006
[23:35:06 09/12/2025] SUCCESS | HotSeat  | ID: 109    | Name: RL_PPOCHI 20                   | Amount:               0  | Machine: 204
[23:40:14 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          423,01  | Machine: 2014
[23:48:30 09/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          383,01  | Machine: 3002
[23:49:04 09/12/2025] SUCCESS | HotSeat  | ID: 97     | Name: Ppochi 2024 -Mon-Fri-18 times  | Amount:               0  | Machine: 1014
[00:04:08 10/12/2025] SUCCESS | HotSeat  | ID: 97     | Name: Ppochi 2024 -Mon-Fri-18 times  | Amount:               0  | Machine: 3016
[00:10:12 10/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          455,02  | Machine: 3005
[00:27:05 10/12/2025] SUCCESS | HotSeat  | ID: 109    | Name: RL_PPOCHI 20                   | Amount:               0  | Machine: 227
[00:33:39 10/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          452,01  | Machine: 3004
[00:42:04 10/12/2025] SUCCESS | HotSeat  | ID: 97     | Name: Ppochi 2024 -Mon-Fri-18 times  | Amount:               0  | Machine: 3002
[01:01:20 10/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          483,03  | Machine: 2015
[01:17:56 10/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:           474,1  | Machine: 2028
[01:33:12 10/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          458,01  | Machine: 2015
[01:38:46 10/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          357,01  | Machine: 3001
[01:39:28 10/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          306,05  | Machine: 2015
[01:41:55 10/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          322,02  | Machine: 3005
[02:20:34 10/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          450,01  | Machine: 3020
[02:35:56 10/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          366,01  | Machine: 2006
[02:36:53 10/12/2025] SUCCESS | Jackpot  | ID: 34     | Name: Daily Golden                   | Amount:       10.365,02  | Machine: 5001
[02:50:53 10/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          360,11  | Machine: 5001
[03:24:31 10/12/2025] SUCCESS | Jackpot  | ID: 0      | Name: Frequent                       | Amount:          463,01  | Machine: 3013
